moviesName,moviesRatings,moviesNumbers,moviesComment
我不是药神,9,391154,"['放在豆瓣语境下，是部时至今日终于拍出来的国产“高分韩国电影”。拿现实题材拍商业类型片，社会意义摆在那，群戏也处理得相当不错。对我们国家而言，这样的电影多一部是一部，走一步是一步。', '这不是“中国版《达拉斯买家俱乐部》”，这是中国的真实事件改编的中国电影，是属于我们自己的电影，不知道就去百度一下“陆勇”。', '人生建议：别买零食，吃不下的。', '你的一个举动可能会改变别人的一生，酒吧领班从此爱上了钢管舞。', '为一句“谁家还没个病人”泪流满面 感叹生命在“穷病”面前无药可救 感慨中国终于有了属于我们自己的有力量的电影 所有演员都非常出色 近年最好的群像表演 请记住这些电影人 宁浩 文牧野 徐峥 周一围 王传君 谭卓 章宇 杨新铭 王砚辉 咱们电影还是有希望的 愿中国的电影越来越好 谢谢']"
大闹天宫,9.3,25382,"['这个猴子是我们国产动画片的骄傲，到了今天依然得指望着它说事儿～', '向中国早期的动画制作人员致敬！', '这个无须评论。', '要看就看影迷修复版，那是最好的版本。比官方的所谓40周年纪念版都好。玉帝的下巴上非常明显的有颗痣我会到处乱说吗？', '致敬。']"
"两杆大烟枪 Lock, Stock and Two Smoking Barrels",9.1,76472,"['中国多少年轻导演在学这风格', '结构很精细。艾德输光了钱的时候，恍惚出门，扶着墙吐，很真实。一贯老实的厨子打劫前突然说，带把刀好：Guns for show,knives for a pro.——你是不是有什么不为人知的过去？我不知道是马上要打劫可怕还是你的过去可怕。', '貌似疯狂的石头就是在模仿这部片子。麦当娜的前夫的作品。', '谁说这片子比猜火车好的?', ""If you hold back anything, I'll kill you.\r\nIf you bend the truth, or I think you are, I'll kill you.\r\nIf you forget anything, I'll kill you.\r\nIn fact, you'll have to work very hard to stay alive, Nick...""]"
指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring,9,55129,"['甘道夫掉下桥的那一刻，我真的落泪了……', '在拒绝好莱坞N年后，一次意外的走入影院，我成为了LOTR的死忠，总有一个绿衣服的弓箭手在眼前晃悠，我冒着花痴般的笑容，历史就此翻开了崭新的一页。', '想到魔幻世界,想感受史诗的魅力,那就看它吧', '再看一遍终于理解小时候没看明白的原因了 故事冗长曲折 情节还没加勒比吸引 但不得不说画面实在很美', '无限的生命并不能给精灵带来永恒的快乐 更残酷的是 让他们眼睁睁看着身边的美好一点点消逝 或许有限的生命才是命运之神对人类最大的眷顾\n我宁愿和你度过凡人短暂的一生 也不愿一个人看尽这世界的沧海桑田']"
飞越疯人院 One Flew Over the Cuckoo's Nest,9.1,75586,"['没啥感觉的公认好片', '美国人为何会无端端诟病中国的人权问题？而我们又为何会觉得朝鲜人民生活在盲目的幸福中？正因为笼子外的人品尝过笼子内的人闻所未闻的自由。当一个人试图破坏笼子的时候，把他定义为疯子就好了。', 'R.P.McMurphy对体制的挑战以脑叶被切除告终，他对自由的追求失败了吗？他所有的尝试都改变了——哪怕一丁点——“疯子们”的生活环境和心灵禁锢。关于受到争议的死亡，则是酋长对完整人格的高度尊重，代表另一个层面的自由。', '为什么我联想到在7中的日子', '片末切除额叶手术和禁闭岛相似 尼科尔森的演出像是史楚锡流浪记中那位 酋长的存在 又有些类似绿里奇迹 但总体还是最接近肖申克救赎的原型——七十年代风浓郁 船上一段是为上扬气氛的最高潮 众疯人都是很有爱的小朋友 奇迹最终可以催生 反派除护士长外渲染不足 其实护士长是无耻之徒里的传奇毒贩奶奶！']"
美丽心灵 A Beautiful Mind,9,85165,"['我觉得你很有魅力, 你对我的主动性说明你对我有同感。尽管如此，传统的信任仍然需要我们在做爱之前进行数多次柏拉图式恋爱。我正在往这方面发展，但事实说来，我真正想做的只是尽快和你XXXX。', '是的，你必须学会分清哪些是幻觉，哪些是梦，哪些是真实的人生，才可以活下去。', '什么都好，除了《A Beautiful Mind》这个名字。\r\n', '有你终生美丽', '用精神治好了自己的精神病']"
饮食男女 飲食男女,9.1,84774,"['看到最后，原来是老爸最猛~~', '我也是看完这部最后笑了的人之一，两个多小时的片子却一点也不觉得长，重要的事情发生的时候都有一桌丰盛的美食，原来这就是饮食男女，我们要吃饭，我们也要生活，生活怎么能总是波澜不惊呢，必须是有着很多的问题。没有一颗细腻的心是没办法拍出这样细腻的片子的。', '李安这次不仅把所有的细节都拍进了我的心坎，还给了一个“惊喜”。电影中复杂的菜式我们没法尝到，但他用镜头让我们把生活的酸甜苦辣都一一尝遍。最后的那个味儿，就是“幸福”，看他的电影，那也是我的幸福。', '“其实一家人住在一个屋檐下，照样可以各过各的日子，可是从心里产生的那种顾忌，才是一个家之所以为家的意义。”极其平淡的生活细节，但无不透尽亲情与爱意。归亚蕾那口熟悉又有趣的湘音也让我开怀。有时候，生活和烹饪是一样的道理，需要用心去投入才能做出一份好味道。★★★★', '大导演拍小琐事，像庖丁一样，每一刀都恰到好处，这刀在故事里游刃有余，不见一丝烟火气，故事戛然而止时会觉得这故事仍然在这世上某个地方继续流淌。']"
V字仇杀队 V for Vendetta,8.9,130089,"['真哭了。不是个人英雄的意思，而是，幻想中人民最终会胜利的感慨。', '适合失眠者在凌晨3点至5点观看。我希望有更少的人理解它，有更少的人喜欢它——以便我可以独占它。', '站着不腰疼的政治童话', '大家为什么看的那么爽呢？好像都到了高潮一样。要做爱，不要作战。其实大家既没有作战，也没有做爱。之所以热血沸腾比自慰爽一些的原因是，这种体验介于自慰和做爱之间——有人帮你打飞机而已。醒醒吧，你还在苟活，如果你觉得爽的话。或者殉道，或者修道，但是都没有。所以只能，抱怨，打飞机，苟活。', '超好看！超感动！很有1984的味道~~~！']"
黑客帝国 The Matrix,9,70255,"['果真没让我失望~频频赞叹1999年人家的思维人家的意识 而咱都2012了还是爱构思古装穿越剧。。。', '新的哲学，开创动作片之先河', '为数不多看不懂的电影', '红色还是蓝色药丸，永远是个问题', 'Matrix的母体概念比盗梦牛逼啊，只不过变性兄弟在庞大的逻辑面前没有诺兰熟练的驾驭能力唉。']"
猫鼠游戏 Catch Me If You Can,9,86964,"['很难想象是根据真人真事改编的，很牛，不过在中国估计出不了这种人吧...除非，中国也有个FBI？很好莱坞的片子~~', '这结局还真是没想到！绝不浪费一个人才！疏忽+牛B this is all', '简直就是《华尔街之狼》的前传。PS：K两礼拜书就能从小白考到各种执照，跪服....这样的天才，为非作歹必为大盗，秉公执法必为大侠，无论怎样人生都是闪亮亮的，再次跪服......PS：结尾说的是--人生难得好基友，何必天涯胜旅。', '穿机长制服的小李子帅爆了，很能理解那些被小李子骗的富家小姐们', '非常好看，里面有很多有意思的经典桥段，看到小李子装同行骗过汤姆非常刺激，李子的美貌在这部电影中还是表现的挺淋漓尽致的，尤其是穿机长服时，简直帅爆']"
钢琴家 The Pianist,9.1,55962,"['影片的结尾让整个故事的基调上升了几个层次，这并不是一部简单的反映二战反映犹太人与纳粹的影片。人性是很美的，当然，人生的际遇变幻各有轮回\r\n', '爲何我會很憐憫那個納粹士官，至少他是鋼琴家的知音。', '这片子，跟男主角那两抹气质超群的眉毛一样耐看！哈哈', '如今这个民族仍然在继续受苦，苍天无眼', '可能因为刚看了拯救大兵，所以难免的觉得这里描述的世界太干净了．是的，即使你已经觉得很残忍了，它还是太干净漂亮了一点．但是我还是非常喜欢这部电影，．只要那些温暖的东西在，就好了，尽管战争的事实，实际上是要残酷得多的．']"
本杰明·巴顿奇事 The Curious Case of Benjamin Button,8.9,117253,"['你可以像疯狗那样对周围的一切愤愤不平， 你可以诅咒命运，但是等到最后一刻到来之时， 你还得平静的放手而去。每个人在某种程度上都对自己有不同的认识，但是我们最后都会去往同一个地方。只是走的路不同罢了。你也有属于你的道路。', '“于时间的长廊上你再也不等我”', '看了第二遍后，觉得是杰作。好电影就是每次看都会觉得心醉神迷。', '细节成功，但缺乏整体性。', '很好,四平八稳,只是没有惊喜.']"
看不见的客人 Contratiempo,8.8,183706,"['大爷大妈智商这么高 家里娃却蠢到开车不系安全带 还tm发短信。。', '现在能有意外结局还让人颠覆的故事，真的很难得了。结局半小时的反转再反转，能自圆其说，能刷新认识，能大呼过瘾，对一部悬疑推理片来说已经完成的相当漂亮。不会苛求太多，这样的故事和设定已经满足。', '好看。另外建议豆瓣给「我看了七分钟就猜到结局」的观众准备彩蛋，他们是推动电影业进步的动力，值得满屏掉落大拇指。', '“男主玩家的言论真是无懈可击，可惜我是预言家，你已经被我查杀了，你自爆不自爆”', '2016最佳，好久没看这种过山车式悬疑片了']"
让子弹飞,8.8,191660,"['叉着腰！牛着屄！嗨起来！', '承认爆米花式的好看不行么？别分析政治隐喻了不如去分析下百年孤独更给力。这次是冯小刚式的姜文，不是国产大师不是救世主，他是凡客。。。', '如果说电影是个男人，冯小刚不中看，张艺谋中看不给力，陈凯歌早泄，姜文纯爷们！', '牛着逼！', '要是姜文拍完这部电影就宣布退休，他会被封神。']"
海豚湾 The Cove,9.3,58350,"['我想知道的是 大地村那里的海豚屠宰场现在怎样？关闭了没有？当地的渔民是否还以屠宰海豚谋生？', '看完确实很难受 但是其它被食用残杀的动物就因为比海豚低贱么...我也没办法真的素食主义..更别扭', '海豚湾的鲜血让人心痛。志愿者们的勇敢无畏令人动容。', '“必须屠杀海豚，因为他们吃了太多（我们的）鱼；必须屠杀海豚，因为要维护昔日大日本帝国的尊严！”  丑陋的真相背后总是有政府和利益集团的勾结。', '当Ric把屠杀海豚的视频绑在胸前闯进OPS的大会现场时...我的泪喷涌...']"
西西里的美丽传说 Malèna,8.9,115681,"['看到了人性的丑恶   更是看到了人性的光辉\r\n\r\n一个性启蒙时期的少年雷纳多   爱上了成熟美艳的少妇玛莲娜\r\n\r\n那些为了能见到她 为了能碰到她  \r\n而骑着自行车狂奔的时刻   像是在追逐自己的幸福\r\n\r\n那些因为看到别人诋毁   自己喜欢的女人   而去报复  的小动作\r\n\r\n那个在教堂里   虔诚的跪在圣象面前\r\n喃喃自语的说  在我未有能力照顾好她之前    请神一定要好好保护她   的...', '贝鲁奇实在太美！连咪咪都美得人神共愤！男孩视角不能更动人。我们的历史总是在动荡年代，挑出一两位绝色女性，用她们的绛唇妆点狼烟，然后任之委弃风尘...', '太美,太性感.太凄凉.', '每個人在他最純真的歲月裡全身心愛上的那個人總是最難忘的，然而在她最無助的時候竟然沒有人挺身而出', '从13岁男孩眼里看到了人性的丑陋不堪，对特别美丽，又无所依傍的玛莲娜任意伤害，把她逼到绝境，不得已成为妓女，战后更是残酷暴虐把她逼离小镇，讽刺的是当一朵鲜花零落成泥后，她再一次和丈夫回到小镇时又用友善的一面对待。她终于不再美丽，不是异类，对她们没有威胁，沦为和她们同样普通。']"
情书 Love Letter,8.9,140634,"['那些没有开口的告白，最终还是让你听见了。', '总是点到为止的岩井俊二.', '关于藤井树的种种回忆，是你拥有的，我把它寄还给你。\r\n', '你好吗？ 我很好。 你好吗？ 我很好。 你好吗？ 我很好。', '「把名字一遍又一遍的写在借书卡上，反反复复看一张并不想知道答案的英文试卷，在告别之前偷偷的把你画在借书卡背面，希望你有一天会知道，我喜欢你」整部电影的配乐都好伤感，女主角一人分饰两个性格不同的角色演绎的非常好，青春和暗恋的心情满点，话说岩井俊二的每部电影里都有几个无厘头的奇怪角色']"
拯救大兵瑞恩 Saving Private Ryan,9,52051,"['为什么看中国战争片就感觉high得不行真想打一仗，看外国战争片就觉得战争真可怕和平多好啊。。。。再不在吃饭的时候看战争片了，太胸闷了。', '真正意义的大导大片，开场的抢滩和结尾的瑞梅尔血战机位控制臻入神技，牛逼的主次特写像一位幸存的二战联盟老兵啐着唾沫在回忆戎马。瑞梅尔的残破桥头，米勒上尉的身后是无尽残阳，他的面前是这个略显荒谬任务的完结，他的面前也是詹姆斯瑞恩的明天。', '看到结尾Hanks无力地对着迎面驶来的坦克，内奔……', '哭死我了，真的哭的我眼睛都肿了', '那些近乎白描式的战役刻画，真实而震撼；米勒中尉不由自主颤抖的手，是那时每个如棋子般无法控制自己命运战士的写照；在更高层面上的人性与伦理的探讨，其实已经无关紧要。']"
小鞋子 ?????? ?????,9.2,53426,"['没钱不要养孩子', '妹妹给正在为寺院磨糖的爸爸倒了杯茶，“怎么不给爸爸准备糖呢？” “你手边不是有那么多糖么” ”那怎么行，这些是给清真寺的，我们只是代为保管，不可以拿的“。', '这些故事那么熟悉，就发生在我身上。', '最纯的电影', '我又想捐东西了。']"
音乐之声 The Sound of Music,9,47270,"['真希望世界像它描述的那么美好', '有悦耳的音乐相随，有动人的情感相伴；有政治但没有阴谋，有战争却并不残酷；不愧是一部极佳的音乐电影！-2011.10.10 —————《音乐之声》上映50周年纪念日：在玛利亚的身上看到了自己的影子，喜爱大自然、喜爱音乐、带孩子们愉快到处地玩乐、教孩子们唱歌、……，满满的重温观影享受。-2015.03.02', '主题的音乐很好听，但可能是距离现在太久了，不太符合现在人的审美，感觉还好吧。', '雪绒花这首歌太熟悉了，玛利亚老师真的是一个与众不同的家教老师，她用她的爱她的音乐感染了上校一家，让原本枯燥无味的家变的活泼充满音乐和欢笑的家，真的是一部很经典的片子', '我是先喜欢里面的一首歌才来看这个电影的。里面的歌舞不错，故事也挺正能量的，如果老师都用爱来教育培养孩子，那孩子们就太幸福了。']"
美国往事 Once Upon a Time in America,9.2,55820,"['有一种片子，伴随你走过热血沸腾的青春期，在成年后来看却又是另一番感受。在巴西，它叫《上帝之城》，在日本，它叫《大佬》，在韩国，它叫《朋友》，在香港，它叫《古惑仔》，在台湾，它叫《牯岭街少年杀人事件》，在大陆，它叫《阳光灿烂的日子》，最早的在美国，叫《 Once Upon a Time in America》。', '两场强暴戏毕竟是吃不消，男性的传奇之路上似乎最少不得的就是美丽而无人格的女性牺牲品', '当年姜文拍阳光灿烂的日子前拉美国往事拉了五十多遍，今次看来，果然颇多神似', '一定要有耐心去看完的电影.又是时间,又是时间里丢失的东西.有一些伤感.', '“青春和强壮会随着锋利的剑而消亡” 大干一场的青春，不曾虚度的十年。岁月让人枯萎，而我们现在有的只有回忆……包罗万象的年代史诗，4个多小时的大银幕体验，电影节完美句点。']"
穿条纹睡衣的男孩 The Boy in the Striped Pajamas,9.1,68964,"['最后他成为了穿条纹睡衣的男孩。', '穿小短西裤衬衫背心的宝贝，眼睛像透明湖水能看穿一切的纯净。以为穿条纹睡衣的男孩会化作烟囱里的浓烟，可这么一个仓促的结局，大雨像硫酸一样砸向心脏。', '看得我浑身发冷~', '小孩总是交友，大人总是树敌。', '我觉得它并不比[辛]差，不是只有透过大社会看战争才是正统的片子。父亲就算是纳粹也爱自己的妻子小孩，母亲做为女性心软，青少年容易被骟动，而什么都不知道的小孩只能接受大人给他灌输的知识。我觉得这些都是可以理解的，并不是“刻板”“形像化”的。最后的长镜头看了几遍']"
致命魔术 The Prestige,8.9,103290,"['一个与同胞兄弟轮流上台享受欢呼与掌声，一个自我牺牲自我毁灭让复制品延续艺术生命。人性泯灭在狂热之中。', '第二遍才发现其实那个小男孩说小鸟的时候已经道出了玄机 撒~撒~', '金刚狼到头来还是被蝙蝠侠给算计了~！\n', '重点是你从一开始就渴望被剧情欺骗，当你彻底陷入一场骗局，你看到的只是导演想让你看到的，这也是影片的伟大之处。诺兰对于观影情绪的把控和希区柯克是同一级别的！★★★★★', '情节悬疑，叙事精巧，主题丰富，背景深厚。简直为完美之作。']"
七宗罪 Se7en,8.8,96691,"['里面的布拉德皮特帅的掉渣……', '决定永远不暴食', '故事看多后的后遗症就是一般最后半小时就知道结局了。。。', '阴沉而绝望。基督教用撒旦的七个恶魔形象来代表七种罪恶：傲慢，嫉妒，暴怒，懒惰，贪婪，暴食，以及淫欲。一个变态的宗教杀手，平时连一只鸡也不杀，但他找到了依据来实施对人的毛骨悚然的谋杀。有什么能比一个人做魔鬼的行径更为恐怖的吗？台词：“这是个美好的世界，值得我们为之奋斗。我同意后半句', '结局让我喜欢这部电影']"
低俗小说 Pulp Fiction,8.8,104528,"['一边聊天一边看，最后发现我竟然没看懂……反而特想吃汉堡……', '太正点了，那妞。。。\n', '文森特你不要总是在关键时刻上厕所啊喂', '昆汀在这部集中展现了他的恶趣味：恋脚，屁眼，假奶，穿洞，SM，血浆。台词功力超屌！杀人时间还太早，再聊一会儿。', '不要在上厕所的时候看书  不要过量吸毒 不要把枪放在厕所门口']"
绿皮书 Green Book,8.9,260384,"['肯德基年度推广大电影', '“世界上孤独的人都害怕迈出第一步” 从最开始的矛盾抵触、到被迫站到一边慢慢调和、甚至最后的惺惺相惜，这不是一趟抛开歧视的旅途，而是两个孤独的人从彼此身上看到另一个世界，一个更真实的世界。纵使有太多不同，种族的、阶层的、贫富的，都可以在这一场春风化雨、淡入心灵的结伴同行中，化干戈为玉帛。“爱上你是件毫不费事的事情”、“如果我不够白，也不够gay，又不够男人，那么你告诉我，我到底是谁”…唐·谢利为托尼...', '赶走偏见不是靠鸣枪，赢得尊重不是靠拳头。为了如厕宁可折返，为了用餐甘愿罢演，受到霸凌不视为侮辱而视为考验，受到恩惠不视为荣耀而视为耻辱。南方劳作的黑奴看到路边的他衣冠楚楚，如同一个预言。一家上流餐厅，一间宽敞厕所，一个高档试衣间都没能容纳下的东西，却装进了一方绿色车厢，勇敢上路。', '这部电影的厉害之处就是剧本扎实，在人物塑造和细节上非常出彩。这趟一路向南的旅程到最后也不能让Dr. Don Shirley证明自己在白人心中的地位，他身陷孤独境地也没人帮得了他，除非他自己跟自己和解，自己去完成一场关于自我的救赎。它并没有刻意说教的去讲什么，但每个人都能从中看到不同时代某些群体的遭遇，不仅仅是黑人和白人这么简单。这部电影的主题正如片中那句点睛的台词所说的，因为天才还不够，唯有勇气才...', '四平八稳的片子，精致的套路，一路都是能想到的通俗剧情，基本没有什么大的起伏，主要看演员，明知道是屡试不爽的美式套路，你还会微微感动，也许这就是好莱坞厉害的地方之一。']"
沉默的羔羊 The Silence of the Lambs,8.8,79818,"['最后一个镜头与T-Bag神似!电影一般,不过汉尼拔越狱那段非常精彩!看评论有人自作聪明的评论这段屋子里怎么没有监视器?是电影一个致命BUG.明显故事背景时间没搞清楚,还不如说在汉尼拔身上植入一个GPS呢.', 'T-BAG出现之前，安东尼大叔一直是我的绝对偶像。', '面对阴险、深邃、睿智的眼神，面对善良、疑惑、稚嫩的眼神，我同时看到了一丝迷茫与矛盾，对人性理解上的茫然，对自己内心世界与离经叛道的行为的矛盾辩解，他们对自身性格的了解都是那么的缥缈，这也许就是两人吸引对方的共通点吧！ ', '喜歡那場變態者在鏡前的独舞，實話說這篇小說真是不怎么樣，但電影成就了奇跡。', '重温经典，发现现在多少影片借鉴了它。。。很喜欢沉默的羔羊这个隐喻，虽然我也不确定它到底暗示了什么。。']"
蝴蝶效应 The Butterfly Effect,8.8,103386,"['或许，我也应该用脐带勒死自己', '尽管有破绽,但是构思的巧妙和创新足以弥补,不能用科学的角度来分析艺术', '人的命运被自己瞬间的抉择改变。', '最后《Stop Crying Your Heart Out》想起，悲伤总算找到了出口，那个擦肩而过也许就是最好的答案，但过去的现在的将来的依旧无法被改变，Oasis的这首歌太绝了！★★★★', '原来是导演剪辑版，结尾的改动让它加了一颗星。这就一恐怖片呀...如果不讲剧情在哲学上的自洽和科学上的合理，编剧还挺不错的。怎么可能一次爆炸就把人格完全改变呢，人格是很稳定的嘛。蝴蝶效应可以改变事件，但说改变人格就有点扯了。【2009年9月25日看的，豆瓣记录有误】']"
被嫌弃的松子的一生 嫌われ松子の一生,8.9,134393,"['\u3000\u3000""小时候,谁都觉得自己的未来闪闪发光,不是吗 \u3000\u3000但是一旦长大,没有一件事会遂自己心愿"" \u3000\u3000 \u3000\u3000她总是想着办法，即便是些常人看起来怪异可笑的办法来面对不太公平的生活遭遇． \u3000\u3000 \u3000\u3000看得我真他妈压抑. \u3000\u3000我就是无比恐惧自己的生活会变成这个样子 \u3000\u3000导演和编剧把我对我生活的梦魇般的臆想变成了胶片', '但是她说，我要跟着他，就算下地狱，那时候真美。太宰治说：难道纯真无暇的信赖之心也算是罪过吗？', '到底好看在哪，这样的人生不都是她咎由自取么。', '她只是怕寂寞……', '极度艳丽如舞台剧一般的画面，极其难以做出的表情，表面上看极为悲惨的人生——但实际也正如乌兹别克斯坦女孩所说，人的价值不在乎得到多少，而在于付出多少：如此看来，松子的人生真的是丰富多彩的幸福，残缺正是作为人所应有的，总之彪悍的人生不需要解释。OST超赞的....^^但影片结尾略冗长']"
春光乍泄 春光乍洩,8.9,85045,"['没有张国荣就没了魂，绝非夸夸其谈', '总是觉得，站在瀑布下的应该是两个人。', '爱到极至，就是两个人的互相折磨。', '感情说穿了 一人挣脱的 一人去捡', '影片两个男主人公的名字竟然就是两个摄影助手的名字，感叹于王家卫随性而行的个性。']"
禁闭岛 Shutter Island,8.8,110718,"['非阴谋结局 泰迪确实病了 最后泰迪是被治好了 但他不愿活在痛苦中 因而假装自己又犯病了而去做切除手术', '我打4.5星，不能得5星的原因是，电影有些长…… 故事很好，每个转折点都很清晰，故事就像《本能》一样，到最后一分钟揭晓大结局给人惊喜。说不好看的同学，大概没有注意结尾。因为谜题的揭晓，是在影片结尾莱昂纳多说的一句话里。', '高中的时候曾和同桌讨论过。如果全班一齐撒一个谎可不可以把班主任搞到精分。', '结局是开放式的，随便你怎么演绎都有理。所以大概不能断定说看到一半就猜到吧。', '他到底会像怪物一样活着，还是会像好人一样死去呢？']"
心灵捕手 Good Will Hunting,8.9,81430,"['比起心灵捕手更让我触动的是男人的友情。“我每天到你家接你，我们出去喝酒笑闹，那很棒。但我一天中最棒的时刻，只有十秒，从停车到你家门口，每次我敲门，都希望你不在了，不说再见，什么都没有，你就走了，我懂得不多，但我很清楚。”', '就算gus你是gay，也不该搞个这么丑的女主出镜啊', '能够做自己的心想做的事，菲尔兹奖又算个什么。抄三句台词。1.你花一万五所受的教育用一块五就能在公共图书馆得到。2.你没离开过波士顿，问你艺术你可能会提出艺术书籍中的粗浅论调，有关米开朗基罗你知道的很多，但你不知道西斯庭教堂的气味，你从没站在那儿看着美丽的天花板...问战争你会引用莎士比亚的话，但你从没接近过战争，看着好友吐出最后一口气...而你只是看了我的一张画就认定了解我的全部，你把我的人生撕裂...', '“我们的小缺点让我们找到对的人。”没有谁是完美的人，最亲密的人就是能够完美的接受对方的不完美。在那个年代，有许多这样的励志影片，或许现在回头看会觉得俗套说教，但精致的对白，动人的配乐，达蒙与罗宾的飚戏，始终会有抓住你的地方。生活有時候只是一种伪装，真正的声音源自我们内心。★★★★', '我想找个像Sean一样懂爱的人。']"
布达佩斯大饭店 The Grand Budapest Hotel,8.8,133071,"['非常好。像一杯温暖的热可可，做得如此甜蜜却又不轻佻，好多台词和段子都有所指涉，却又浑然天成，不像在掉书袋。片尾看到对茨威格的致敬，眼泪都掉下来了。自从好多年前看了Visconti的《豹》之后，这是第二部让我对“昨日的世界”充满向往的电影。', '故事并不怎么吸引人，完全靠导演的个人风格来博取毫无鉴别力观众的好评。', '依然还是韦斯-安德森标志性的复古色调、悦耳配乐，神经兮兮的冷幽默。不像前作那么随意松散，《大饭店》故事紧凑、层层剥茧，而且居然有点“重口味”。也许只有韦斯-安德森才能把一个混合谋杀、越狱、械斗的故事拍得那么喜感。', '他，还有她，就那样离开了，昨日的世界也不复存在。', '保留了韦斯安德森独特的运镜构图色彩剪辑音乐特色的同时，故事的讲述和人物的塑造也同样成功。尤其production designer的各种空间营造，监狱，雪山缆车等已，不再是使影片风格化的辅助，而是直接参与叙事，大部分时间主角就像身处一个迷宫连环闯关游戏一样。一气呵成，爽就一个字']"
海蒂和爷爷 Heidi,9.2,67971,"['小姑娘很有灵气，给人的感觉就好像天生属于大山，光着脚奔跑在花草山峦中，风般轻盈，鸟儿般欢乐。电影中的感情都很真挚，也很友善，没有绝对的坏人，而且大家到最后都得到了所希望的幸福，这种幸福让观众看着也幸福。', '今年第一个惊喜！可能有点偏儿童，但绝对老少皆宜。小姑娘呀，你可千万别长残了', '愿意穷尽这一生，去守护海蒂洁白无瑕的笑容。Peter失手推下山的轮椅，反而成了帮助Klara重新站起来的助力，真的给人一种生命的美好会创造无限miracle的感觉。“If something in life brings you joy, then you simply have to do it, regardless of what people say.”', '海蒂失去了父母，于力失去了孩子，他们是两个被抛弃的人，恰好填补了对方缺失的部分。\n来到克拉拉家，海蒂有了新衣服、新鞋子，有了食物，有了温暖的大床，她什么都有了，可是没有了爷爷、雪山和羊群。\n你给了她物质生活，其实她要的是精神生活，要的是亲情和自由。\n无数的规矩和礼仪把克拉拉压得喘不过气，让她产生了心病。不仅身体寸步难行，心理也被牢牢困住。\n你以为你给了她一切，其实你根本不知道她想要的是什么。\n正是...', '5颗星完全不够用']"
勇敢的心 Braveheart,8.9,66428,"['有时候男人的一句嘶吼也可以让人流泪', 'Freedom！自由从未来得这么震撼心灵过~~', '里程碑式的电影', '被曲解的历史，詹姆斯霍纳的巅峰配乐', '生命诚可贵，自由价更高。']"
剪刀手爱德华 Edward Scissorhands,8.7,114421,"['除了JohnnyDepp 还能有谁能有那样的眼神？', 'Adward脆弱的眼神永远忘不掉', '爱德华是每个人初恋时候的样子。', '佩格居住的小镇是画笔般彩色的，这里的人们好奇热情也多疑。爱德华获得明星般的关注，也在人类的世界遭遇讨伐。金对于他，永远只能是剪刀下冰雕的女神像，无法拥抱，无法守护。完美的悲剧童话，如同后来每年的雪。 ', '这片居然没有修复版！即使在TB的作品中，这都算得至纯真的一部。发明家死的时候Ed弄坏了原本是要送他作为圣诞礼物的人造手，他试图抚摸至亲的脸却只留下血痕<--姐的泪点在这里。想不到这次边上有人几乎同时开哭，而且哭得好大声。灯亮之后发现那是个清朗的白发大叔，好可爱']"
阿凡达 Avatar,8.7,142114,"['当所有美国大片都开始炫耀自己的视觉效果时，詹姆斯卡梅隆只是坐在阴暗的角落里冷笑，然后抛出这么一部让所有人感慨“操，真他妈牛逼啊！”的电影。', '有一天,意中人会踏着飞着的大怪兽来救我.然后I see you...', '特效震惊，3D感一般，但够真实，故事一般，创意度一般，世界观展示一般，但呈现效果牛逼至死，战斗场面热闹和精彩，但谈不上震惊，整体只能说，整体符合预期，这是它的优点，但没有意想不到的亮点是它的遗憾之处。推荐观看。', '这电影的特效是自指环王以后见过的最令人惊艳的。我觉得可以打6星！去看的时候一定要去看3D版的。', '绿色，环保，和平，战争，爱情，友谊，\r\n惊悚，悬疑，血腥，暴力，科幻，纪实，\r\n肌肉佬，人兽交，重口味。。。。。。。\r\n全都有了。\r\n你是选择回老家做残障，\r\n还是留在外地做皇帝？']"
天使爱美丽 Le fabuleux destin d'Amélie Poulain,8.7,135472,"['有没有人觉得和重庆深林里的王菲有点相似？', '洋溢着法国人的性格风情', '配乐大好，剪辑大好.别的不够好. 至少不对胃口 到现在只对片子最开始的部分 也即艾米莉的自述印象深刻了 尝试做爱如何，但是感觉不太好. 那个微笑的表情', '浓重的法国情调，舒缓，镜头语言动听。女主角漂亮。唯一的不足就是……这样的爱情会不会太作了？爱情就是门口经过的大巴，现在不上，以后都不能再上了……', '浪漫到骨子里，忧郁，神经质，跳跃，文艺是很典型的法国电影啊！喜欢的人为它如痴如醉，不喜欢的人看的昏昏欲睡，两种极端。我只能说非常好，非常适合一遍一遍地欣赏。艾米丽是天使，拥抱世人，容纳那些不美好。']"
