电影名称,评分,短评数量,热门短评
让子弹飞,8.8,全部 190950 条,"['你给我翻译翻译，神马叫做TMD的惊喜！幽默、炫酷、西部片，自恋、隐喻、男性化，黑色、血腥、怪点子，卖腐、露点、性暗示，酒神、荒诞、神经错乱，草莽气息、英雄情结、革命浪漫主义外加一分的孤独。', '说姜文用力过猛的  那只能说明您受功不够 受用不起！影志老师在各方压力下更新短评 缓和了语气“姜文导演作品里最差的，远不如《阳光灿烂》和《鬼子来了》。”  难道这也是打一星的理由？您明知道阳光灿烂和鬼子来了都是中国影史经典  难道在您看来不如经典就是一星？！牛掰就别改短评！', '仍然有浪漫的想象、癫狂的审美、极致的表演，然而姜文这次说，他要让所有人都看懂，于是他不放过对任何细枝末节的解释。当彪悍的人生开始解释，所以，情怀没了，诗意没了，理所当然。难道所有导演的审美都要假装去迎合观众而连带着水准一起拉低？好吧，那市场胜利了，这下子都能看懂，都能笑了。', '开篇大四喜，尾声单钓将；麻筒子连七对，汤混子全不靠，四万字无番和；大三元影帝，清一色男配，花牌周韵，自摸姜文。', '要是姜文拍完这部电影就宣布退休，他会被封神。']"
海豚湾,9.3,全部 58150 条,"['最具艺术感的纪录片。真相都真的让人难以想象，所以他们还在否认南京大屠杀。', '看完确实很难受 但是其它被食用残杀的动物就因为比海豚低贱么...我也没办法真的素食主义..更别扭', '看关于环保，动保的纪录片的最大意义就是转化为自身的行动。现在这种片子很多，如果看到10部你还没素食我怀疑你是不是要人格分裂了。', '海豚湾的鲜血让人心痛。志愿者们的勇敢无畏令人动容。', '“海豚的微笑，是世界上最高明的伪装”《海豚湾》之前，太多生态纪录片披着唯美和说教的空皮，这一部所上升到的意识高度以及呈现的残忍，令人震撼。09最佳当之无愧。“当我看着一条海豚，他的眼睛跟着我转，当我们四目相对，我有一种由内而外的感觉，毋庸置疑，我正在和一个智慧生命进行交流”']"
西西里的美丽传说,8.9,全部 115019 条,"['关键时候男人都不出来帮他们的女神，不过如此', '最喜欢一段：之前走路眼目躲闪低垂的她，在那一夜后将蓬松凌乱的头发染红，低胸黑色连衣裙，眼里全是看破之后的凌厉无畏，姿态轻佻却强韧无比，翘腿，叼一根烟于唇间，四下便倏忽忽如游鱼抢食般凑来十几只握着打火机的手。從頭到尾沒有一句臺詞。', '美丽无罪，不忍心看美丽在暴民政治下低头', '当相貌远远高于一个人的社会地位时，所带来的伤害也会远远高于一般人。', '贝鲁奇实在太美！连咪咪都美得人神共愤！男孩视角不能更动人。我们的历史总是在动荡年代，挑出一两位绝色女性，用她们的绛唇妆点狼烟，然后任之委弃风尘...']"
情书,8.9,全部 140037 条,"['翻过来的卡片，肖像，是初恋回忆的完美情书', '关于藤井树的种种回忆，是你拥有的，我把它寄还给你。\r\n', '从相恋开始准备看，分手后真的看成了\r\n', '永远忘不了柏原崇倚在窗口的样子，他拿着一本书，低着头看，窗帘在他身后轻轻飘荡，抬起头，我看到了这个世纪末的美少年的干净美好。《情书》的就是经典的岩井俊二摄影风格，此后很多爱情片都有借鉴他的取景和摄影风格。', '「把名字一遍又一遍的写在借书卡上，反反复复看一张并不想知道答案的英文试卷，在告别之前偷偷的把你画在借书卡背面，希望你有一天会知道，我喜欢你」整部电影的配乐都好伤感，女主角一人分饰两个性格不同的角色演绎的非常好，青春和暗恋的心情满点，话说岩井俊二的每部电影里都有几个无厘头的奇怪角色']"
拯救大兵瑞恩,9.0,全部 51790 条,"['为什么看中国战争片就感觉high得不行真想打一仗，看外国战争片就觉得战争真可怕和平多好啊。。。。再不在吃饭的时候看战争片了，太胸闷了。', '每场战争都是一幕荒诞剧', '看到结尾Hanks无力地对着迎面驶来的坦克，内奔……', '我对它的喜欢游离在主题之外', '不论你如何唾弃，这就是美国！这就是人性！冒着损失一个小队代价的风险，也不能让一个母亲一天接到第四份阵亡通知书。影片开头的抢滩登陆极其写实，让人有种观看纪录片的错觉。近结尾 汤姆·汉克斯用手枪盲目下意识射击坦克最后竟然真的击爆的情节让人倍感希望。']"
小鞋子,9.2,全部 53026 条,"['说心里话，这个成为经典是靠人们摸着心评价的，不是片子本身有多好。', '妹妹给正在为寺院磨糖的爸爸倒了杯茶，“怎么不给爸爸准备糖呢？” “你手边不是有那么多糖么” ”那怎么行，这些是给清真寺的，我们只是代为保管，不可以拿的“。', '这些故事那么熟悉，就发生在我身上。', '你说你像记录片，我选择相信。一切正如简介所言，一切也不超出这个故事，导演马基迪懂得，怎样将一个感人的故事讲好，并且也只将注意力集中在故事上。阿里的眼泪，以及获奖时无声的表情，最后的高潮部分相当感人，真是天堂的孩子才会有的演技，让人不得不去想像或许这真是一部真实记录片了，最美的奔跑', '世影史：影片与很多伊朗电影一样清新、质朴，真诚地描摹伊朗人的真实生活，表现窘迫艰难的平民生活中隐含的人性的善良，带领观众回到纯真澄净的世界。导演以一种极其温情的目光关注了一个普通儿童去以自己的方式去实现一个梦想的全过程。结尾金鱼亲吻孩子双脚的画面，以其美感和创意备受推崇。']"
美国往事,9.2,全部 55604 条,"['他的一生，是关于几个出生入死的兄弟，和一个美轮美奂的姑娘', '少年子弟江湖老，红粉佳人两鬓斑', '史诗叙事大师笔法，黄昏已近青春已远。而今男人的理想已改变太多。配乐绝佳。', '闷得我喘不过气来。\r\n价值与时间，成长与背叛。\r\n还是难得这么有力量的片子。', '“青春和强壮会随着锋利的剑而消亡” 大干一场的青春，不曾虚度的十年。岁月让人枯萎，而我们现在有的只有回忆……包罗万象的年代史诗，4个多小时的大银幕体验，电影节完美句点。']"
音乐之声,9.0,全部 46928 条,"['真希望世界像它描述的那么美好', '温情四溢、沁人心脾的音乐电影，经典的一塌糊涂。', '有悦耳的音乐相随，有动人的情感相伴；有政治但没有阴谋，有战争却并不残酷；不愧是一部极佳的音乐电影！-2011.10.10 —————《音乐之声》上映50周年纪念日：在玛利亚的身上看到了自己的影子，喜爱大自然、喜爱音乐、带孩子们愉快到处地玩乐、教孩子们唱歌、……，满满的重温观影享受。-2015.03.02', '雪绒花这首歌太熟悉了，玛利亚老师真的是一个与众不同的家教老师，她用她的爱她的音乐感染了上校一家，让原本枯燥无味的家变的活泼充满音乐和欢笑的家，真的是一部很经典的片子', '我是先喜欢里面的一首歌才来看这个电影的。里面的歌舞不错，故事也挺正能量的，如果老师都用爱来教育培养孩子，那孩子们就太幸福了。']"
穿条纹睡衣的男孩,9.1,全部 68478 条,"['最后他成为了穿条纹睡衣的男孩。', '穿小短西裤衬衫背心的宝贝，眼睛像透明湖水能看穿一切的纯净。以为穿条纹睡衣的男孩会化作烟囱里的浓烟，可这么一个仓促的结局，大雨像硫酸一样砸向心脏。', '无论你之前是什么样的人，在穿上这件条纹睡衣之后，都会变成一样的人。这部电影主题深得我心啊，故事讲得也不错，镜头运用，结局处理都很出色，特别是结尾处那个长达数秒的长镜头发人深省。', '看得我浑身发冷~', '夜里安静地看这部片子，莫名的忧伤和震撼。有时候可怕的并不是罪恶本身，而是掩饰罪恶带来的后果会让人误以为罪恶是美好的。看到结局，最后的防线被击垮了，到底该为小男主无辜的死亡和其母痛失爱子而悲恸，还是要为这死成了对其父及纳粹罪行的惩罚而窃喜…（ps.Rupert Friend太妖孽。']"
致命魔术,8.9,全部 102911 条,"['一个与同胞兄弟轮流上台享受欢呼与掌声，一个自我牺牲自我毁灭让复制品延续艺术生命。人性泯灭在狂热之中。', '故事编不下去就弄成科幻了。。。', '黑寡妇勾引完金刚狼勾引蝙蝠侠，最后玩腻了一走了之', '情节悬疑，叙事精巧，主题丰富，背景深厚。简直为完美之作。', '诺兰牛比阿']"
七宗罪,8.8,全部 96323 条,"['没觉得有多经典。一来因为没有读圣经信基督的文化背景，二来就像那篇最热门的影评说的，它展示了一些很糟糕的东西，却没有给出解答。这没有什么意义。', '故事看多后的后遗症就是一般最后半小时就知道结局了。。。', '阴沉而绝望。基督教用撒旦的七个恶魔形象来代表七种罪恶：傲慢，嫉妒，暴怒，懒惰，贪婪，暴食，以及淫欲。一个变态的宗教杀手，平时连一只鸡也不杀，但他找到了依据来实施对人的毛骨悚然的谋杀。有什么能比一个人做魔鬼的行径更为恐怖的吗？台词：“这是个美好的世界，值得我们为之奋斗。我同意后半句', '结局让我喜欢这部电影', '这才是高智商电影行吗，剧中人物比其他悬疑片人物智商高多了……整部片子气氛很好，解密的话可能不够刺激，不过刺激的话就不是芬奇了，芬奇的电影一直就是这么冷冰冰的没有生气。']"
低俗小说,8.8,全部 104145 条,"['我爱特拉沃塔的舞。', '太正点了，那妞。。。\n', '你的漫漫人生，我有多少戏份', '文森特你不要总是在关键时刻上厕所啊喂', '初中在一堆色情碟片里随手抓的一张碟，结果出来个这种玩意儿，看得云里雾里。直到刚才，我才发现这片子就是著名的《低俗小说》']"
沉默的羔羊,8.8,全部 79480 条,"['如果汉尼拜尔教授不整天嘴上念叨着吃人，和他共进晚餐一定是世界上最迷人的事情。★★★★★', '正是因为米国没有卤煮火烧和烩羊杂，就连爆肚、溜肥肠，酱爆肝尖，火爆腰花什么的都没有，所以作为美食家的汉尼拔很尴尬，常常为了一份食材而绞尽脑汁，大费周章，其实。北京欢迎你，大可满足你顿顿吃卤煮的愿望。', 'T-BAG出现之前，安东尼大叔一直是我的绝对偶像。', '面对阴险、深邃、睿智的眼神，面对善良、疑惑、稚嫩的眼神，我同时看到了一丝迷茫与矛盾，对人性理解上的茫然，对自己内心世界与离经叛道的行为的矛盾辩解，他们对自身性格的了解都是那么的缥缈，这也许就是两人吸引对方的共通点吧！ ', '重温经典，发现现在多少影片借鉴了它。。。很喜欢沉默的羔羊这个隐喻，虽然我也不确定它到底暗示了什么。。']"
被嫌弃的松子的一生,8.9,全部 133863 条,"['是嘲讽吧——你以为人生要完了的时候它还在继续，你以为人生可以重新开始的时候，人生已完。 ', '\u3000\u3000""小时候,谁都觉得自己的未来闪闪发光,不是吗 \u3000\u3000但是一旦长大,没有一件事会遂自己心愿"" \u3000\u3000 \u3000\u3000她总是想着办法，即便是些常人看起来怪异可笑的办法来面对不太公平的生活遭遇． \u3000\u3000 \u3000\u3000看得我真他妈压抑. \u3000\u3000我就是无比恐惧自己的生活会变成这个样子 \u3000\u3000导演和编剧把我对我生活的梦魇般的臆想变成了胶片', '可怜之人必有可恨之处', '到底好看在哪，这样的人生不都是她咎由自取么。', '【就算被打，也比孤独一人好】如果单拎出一段来看，一定会被浓烈的色彩、童话般的氛围和OST给骗了，其实这是一个在讲述“破碎”的故事，为了取悦别人松子不断的付出着钱财肉体灵魂乃至一切，可生活的变故却让她不断的破灭破灭再破灭，但她还是一次次站起来了，为松子鼓掌，操他妈的生活。']"
蝴蝶效应,8.8,全部 102851 条,"['每一次的选择已经是最好的选择了。改变未必是优化。', '尽管有破绽,但是构思的巧妙和创新足以弥补,不能用科学的角度来分析艺术', '毫无逻辑可言的故事，完全靠结构，没有灵魂。看完了觉得浪费时间。。。', '最后《Stop Crying Your Heart Out》想起，悲伤总算找到了出口，那个擦肩而过也许就是最好的答案，但过去的现在的将来的依旧无法被改变，Oasis的这首歌太绝了！★★★★', '前半段是“诱惑肌肤”，后半段是“疾走罗拉”。通过大脑开外挂，不断拓扑出各种现实，最后一步步修正回原点。你无法改变一个人又不毁掉他。软科幻，硬惊悚，震撼结尾。']"
绿皮书,8.9,全部 259087 条,"['肯德基年度推广大电影', '绝对是今年tiff我看过的最有意思的一部电影，全场笑声掌声就没停过。节奏欢快，情节有趣又不失深度。V叔扮演的来自Bronx街头的意大利裔司机和Ali扮演的受高等教育的黑人音乐家碰撞出令人惊喜的火花，二人从纽约一路向南巡演，然而越向南种族歧视也越来越严重。导演用一种巧妙的角度向观众展示了当时的不公以及音乐家内心的纠葛。尽管他从小就在不同的重要场合表演，然而最尽兴的一次却是在圣诞前夕的一个黑人小酒吧。...', '肤色对调版《触不可及》，一场跨越美国的公路之旅，更是一场跨越种族与肤色、身份与阶层的人性之旅。\n所有下属都对唐毕恭毕敬，唯有托尼把他当普通人对待，给他吃炸鸡、对他说出真实想法。\n不把他当成黑人，才是真正不歧视他的表现。\n另一方面，唐又受到外人的歧视和侮辱，他始终忍气吞声，低声下气。\n听他演奏的观众可以在餐厅吃饭，而他作为表演者却不可以。\n正是托尼教会他反击，教会他为自己发声、捍卫自己的权利和尊严。...', '“世界上孤独的人都害怕迈出第一步” 从最开始的矛盾抵触、到被迫站到一边慢慢调和、甚至最后的惺惺相惜，这不是一趟抛开歧视的旅途，而是两个孤独的人从彼此身上看到另一个世界，一个更真实的世界。纵使有太多不同，种族的、阶层的、贫富的，都可以在这一场春风化雨、淡入心灵的结伴同行中，化干戈为玉帛。“爱上你是件毫不费事的事情”、“如果我不够白，也不够gay，又不够男人，那么你告诉我，我到底是谁”…唐·谢利为托尼...', '完成度很高的公路喜剧片，亮点在于人物塑造完整和细节使用精彩，剧作与表演堪称杰出。创造灵感来自于真人真事，为表达主题做了艺术虚构与夸张，听说真人的后代对此有意见及争论。艺术作品不是历史，我以为无可厚非。']"
春光乍泄,8.9,全部 84541 条,"['光棍节给自己准备的电影《春光乍泄》，根本就是找虐。。。。黎耀辉简直是八心八箭4个9的纯GAY，极品中的极品，GAY中的爱马仕，GAY中的劳力士，GAY中的劳斯莱斯，上下5000年不可多得的尤物！！！我想变男人要这样的男朋友啊啊啊啊', '我敲诈你，人质是我自己', '没有张国荣就没了魂，绝非夸夸其谈', '影片两个男主人公的名字竟然就是两个摄影助手的名字，感叹于王家卫随性而行的个性。', '其实何保荣才是彻底的loser。你去了瀑布你难过悲伤可是你回到了地球另一端，而他还在那儿假装依然可以重头来过，你却再也不出现。（最好是，收拾好一切，再也不见）']"
禁闭岛,8.8,全部 110287 条,"['非阴谋结局 泰迪确实病了 最后泰迪是被治好了 但他不愿活在痛苦中 因而假装自己又犯病了而去做切除手术', '我打4.5星，不能得5星的原因是，电影有些长…… 故事很好，每个转折点都很清晰，故事就像《本能》一样，到最后一分钟揭晓大结局给人惊喜。说不好看的同学，大概没有注意结尾。因为谜题的揭晓，是在影片结尾莱昂纳多说的一句话里。', '这部电影所讲的是：<1>.我们没有面对自己的地方，就会成为我们的命运。——荣格 2. 我们相信什么，什么就是我们的命运。\r\n\r\n', '结局是开放式的，随便你怎么演绎都有理。所以大概不能断定说看到一半就猜到吧。', '他到底会像怪物一样活着，还是会像好人一样死去呢？']"
心灵捕手,8.9,全部 80955 条,"['经历没有埋没我的才华，却抹杀了我应有的自信，我被吓坏了，成长出一腔的狂妄自大，我赖以这种方式保护自己，终于等到一句：这不是我的错。', '你年轻彪悍，我如果和你谈论战争，你大可以向我大抛莎士比亚，背诵“共赴战场，亲爱的朋友”，但你从未亲临战阵，未试过把挚友的头拥入怀里，看着他吸着最后一口气，凝望着你，向你求助。不要以为，我了解你。也许我可以通过“知识”来看你，但那不是你，除非你愿意谈谈你自己，否则我不知道你到底是谁', '就是这种电影能让我心甘情愿哭，因为我心甘情愿跟着它煽情的脚步。', '我想找个像Sean一样懂爱的人。', ""这个世界总有对不起你的时候，这让你好像除了防御之外再也做不出来任何动作，不知道我们到底要体验多少才能懂得一个很简单的道理，不知道要过多久要靠多少机缘巧合，才能有一个人对我说：it's not your fault""]"
布达佩斯大饭店,8.8,全部 132394 条,"['这不仅仅是一部电影，它是游戏，是童话，还是一件艺术品，将作者化的美学风格、形式感和怀旧的主题完美融合！无论从故事、剧作、主题和美学，它的辨识度都只属于自己，对于韦斯·安德森的粉丝，这是杰作！', '故事并不怎么吸引人，完全靠导演的个人风格来博取毫无鉴别力观众的好评。', '依然还是韦斯-安德森标志性的复古色调、悦耳配乐，神经兮兮的冷幽默。不像前作那么随意松散，《大饭店》故事紧凑、层层剥茧，而且居然有点“重口味”。也许只有韦斯-安德森才能把一个混合谋杀、越狱、械斗的故事拍得那么喜感。', '韦斯最高度风格化的电影，充分体现了他对镜头调度、色彩照明的掌控和微缩模型的精妙，并依然热衷于演员如何出现在镜头前及走位；画幅比也加强了片子的古典氛围（古斯塔夫逃狱和零接头那场戏最具30年代老片风骨）。尽管依旧是形式大于内容，且比过去的作品少了深度与情感，但这就韦斯.安德森。', '流光溢彩的精致画面，如坐过山车般呼啸生风的节奏，夸张的肢体语言竟然有向“摩登时代”致敬的意味。看这样的电影就像做梦，就像面对五颜六色、充满奇思幻想的糖果，让人忍不住舔了又舔。如果有天韦斯·安德森返老还童，我想我也丝毫不会奇怪！']"
勇敢的心,8.9,全部 66199 条,"['有时候男人的一句嘶吼也可以让人流泪', '那时候的史诗片拍的多好，90年代的大片就应该是这样的。', '梅尔吉布森自导自演，斩获奥斯卡多项大奖。这部影片从史实角度看完全不及格，但从史诗角度看绝对堪称经典。童年苦情经历、爱情、复仇、战争、背叛、受刑等英雄片的元素齐集，配以高潮迭起的剧情和悠扬的苏格兰风笛，让人即使知道剧情与史实不符，也禁不住流泪。（8.5/10）', '比较一般，可能是在家看所以不震撼', '其中有一个场景很享受,大约是最后30分钟,华莱士的伙伴重新聚集力量,向其他人宣传华莱士召集士兵做战前准备，而华莱士独自一人登上高山顶峰,那一刻音乐背景画面以及心灵都异常的充实满足。因为这部电影爱上了苏格兰音乐，充满异域风情，风笛太好听了']"
剪刀手爱德华,8.7,全部 113887 条,"['童话真美好 现实太聒噪', '美好的东西注定只能潜藏在角落', '第一页显示出来的影评都挺恶心的。滥情。影评的悲哀是写成了剧情介绍', '爱德华是每个人初恋时候的样子。', 'CCTV6，爱上爱德华。从此不改变。']"
海蒂和爷爷,9.2,全部 66845 条,"['难怪看到片名有种莫名的熟悉感，看正片后才知道这与高畑勲导演、宫崎骏担任场面设定的动画片《阿尔卑斯山的少女》改编自同小说《海蒂》，简直惊喜到不行。……故事温情脉脉，风景怡情养目，一段醉我心脾的观影历程。……有时，我以为看过几千部电影，会审美疲劳，可当碰到心仪之作依然能看得身心愉悦。', '凭着取景在瑞士宛如天堂的阿尔卑斯山就值得打十星！！！我十分赞同曾经看过的一个观点：每个人童年时期与大自然的亲密接触是十分必要的，与自然相处你才会有更高的审美，才会在内心深处更准确的悟出人是什么活着是为什么这样问题的答案。对社会的认识越深，才会越发觉得返璞归真才最珍贵。棒。', '有一些孩子只属于旷野 山林 和 自然。\n而 每个人心中都有这样一个孩子。\n疗愈 释放 重生 你需要拥有他 并 拥抱他。\nwith Katherine @ Elements', '海蒂失去了父母，于力失去了孩子，他们是两个被抛弃的人，恰好填补了对方缺失的部分。\n来到克拉拉家，海蒂有了新衣服、新鞋子，有了食物，有了温暖的大床，她什么都有了，可是没有了爷爷、雪山和羊群。\n你给了她物质生活，其实她要的是精神生活，要的是亲情和自由。\n无数的规矩和礼仪把克拉拉压得喘不过气，让她产生了心病。不仅身体寸步难行，心理也被牢牢困住。\n你以为你给了她一切，其实你根本不知道她想要的是什么。\n正是...', '喜欢 很温馨 我泪点有点低']"
阿凡达,8.7,全部 141665 条,"[' James Cameron闭上眼，全是电影的明天。', '阿凡达同时也揭示了女人的悲惨命运，主角与他的空中坐骑即是说明这个问题：选择她，她挣扎，插入她，她被俘获，甘心被他骑一辈子，众叛亲离之时，只有她在身边，魅影出现以后，她消失无踪，他再也没有寻找与过问。', '已经不是在看电影了，是在比谁Wow的次数多，眨眼次数少。', '绿色，环保，和平，战争，爱情，友谊，\r\n惊悚，悬疑，血腥，暴力，科幻，纪实，\r\n肌肉佬，人兽交，重口味。。。。。。。\r\n全都有了。\r\n你是选择回老家做残障，\r\n还是留在外地做皇帝？', '从现在到未来，从地球到潘多拉，《阿凡达》再次告诉我们，要想泡到一个姑娘，有一辆好车是多么的重要啊～～']"
天使爱美丽,8.7,全部 134897 条,"['左上唇，右脸颊，左眼，右后脖颈。', '洋溢着法国人的性格风情', '看名字就不怎么想看的一部片子，果然片子色彩那么美，女主角长得也不错，性格很萝莉，但就是不喜欢。她整水果摊老板的手段太刻薄了', '浓重的法国情调，舒缓，镜头语言动听。女主角漂亮。唯一的不足就是……这样的爱情会不会太作了？爱情就是门口经过的大巴，现在不上，以后都不能再上了……', '浪漫到骨子里，忧郁，神经质，跳跃，文艺是很典型的法国电影啊！喜欢的人为它如痴如醉，不喜欢的人看的昏昏欲睡，两种极端。我只能说非常好，非常适合一遍一遍地欣赏。艾米丽是天使，拥抱世人，容纳那些不美好。']"
摩登时代,9.3,全部 23391 条,"['人的异化，极富前瞻性，即使放在今天看了依旧有着强烈的现实意义；卓别林是个极为矛盾的个体：一方面，他总是对社会那些最深入肌理的顽疾给予毫不留情的讽刺和抨击；另一方面，他也是个执拗的人性本善论者。', '经济萧条，失业严重，穷人潦倒，贫富不均，企业主压榨，社会混乱，体制不合理', '当人不再是人，而是机器', '  那时的人们尽管贫穷，但很善良，不禁让人反思，物欲横流的今天，现在的人们又是怎样的呢？', '卓别林系列儿时看得太多记不清谁是谁了……']"
加勒比海盗,8.7,全部 57198 条,"['男二号太帅了', 'johnny太性感了！！！！！！！！', '加勒比海盗这一系列我都特别喜欢，喜欢杰克幽默风趣，顽强，坚韧勇敢，像永远也打不死的小强，还有他的黑珍珠海盗船，太神奇了！', '原创感十足，船长乃实在太美了！', '船长登陆那一段，有点创意。']"
致命ID,8.8,全部 94689 条,"['作为悬疑和惊悚片是非常成功的，但作为多重人格可能并不合适。人格能简单这么消灭的么？既然是在想象中，为何不能被再度唤起。', '最不可能的那个人永远是最可能的', '吓得我都要人格分裂了！！！以后打死都不要再看恐怖烧脑片！！！！！', '没办法不打五星啊，虽然不到一半就猜到了结局。', '本以为是娱乐片，却是一部精彩的悬疑片，和《记忆碎片》一样，不到结尾不见真相。前段或许有些老套，但进行到中段的解谜阶段就很紧张了，后面的真相揭开后，又将剧情推向一个让人瞠目结舌的高潮，难得的是在结尾，居然再次给了观众心灵一记刺痛。善与恶，原本就是一体的。 PS:1.以罪犯幻想之情节名义给剧本许多地方逻辑推理不足找到了借口2.Mhotel又有何寓意呢3.对影片营造的黑夜，阴冷，潮湿氛围很中意last....']"
喜剧之王,8.7,全部 80675 条,"['周星星电影中最喜欢的一部', '我最讨厌别人不擦润唇膏了！每次看到嘴上干裂起皮都忍不住想要亲上去！所以你要多擦一点润唇膏啊！你到底要不要我给你擦润唇膏！——好喜欢这一段，那时的张柏芝漂亮的无法用笔墨形容，脚趾甲上涂着五彩的颜色，小巧的下巴和明亮的眼，根本就是个小妖孽。【MD电影短评怎么字数限制这么短！】', '那时候的她无论多少流言蜚语都无所谓', '戏梦人生，笑中带泪，好作品', '失望！太想真诚，倒显得做作了']"
断背山,8.8,全部 90786 条,"['喜欢李安。他的深沉、细腻、柔和、感性。他在《断背山》里揉进了那么多东方欲说还休的矜持，让我一下子觉得，他们的世界离我是那么近……\r\n如果让我选择几部自己认为最优秀的电影，〈断背山〉肯定是其中之一。', '这就是他们的命吧。李安说：人人的心中都有一座断背山。其实，不如说每个人都有回不去的地方。一个夏天的故事就是一辈子的回忆，因为这种不等式的交换才让他们生命的价值显得悲壮而又无奈。烟花已灭，埃尼斯与杰克都在黑暗之中，一开始看不清别人，也看不清楚自己，可慢慢的都习惯了。潮起潮落，有的人认命了，就飘飘荡荡地活着，有的人不肯认命，就挣扎地想抱一丝希望，无非是想多找到一点可以温暖的回忆。其实，不管怎样都是不容...', '断背山讲述的并不仅仅是性，而是爱，一种因为犹疑而备受阻碍、最终化为心底悲哀的爱。', '我后来又看了好几遍', '原来男人与男人之间，也可以爱得这么唯美']"
幽灵公主,8.9,全部 47952 条,"['宫崎骏的巅峰之作', '宫骑骏就是个生态环保大师啊。', '所看过最有深度的动画了，居然有几分史诗的感觉。分镜头比许多真人电影还好，好棒，五星力荐', '每年都会看一遍，这依然是我最喜欢的宫崎骏作品，它赤诚而纯粹。关于自然、生存、人的业障，这种不带立场的冷静叙事才最残忍。当宫崎的才华无需浪费在描绘恋爱私情上时，每一帧分镜便都化作一幅瑰丽绝伦的日式民俗美学画卷。我的名字是阿席达卡，从东方尽头之地而来，你们是否就是山兽神之林中的神明？', '都不知道在说些什么，但是受伤的时候很让人心疼']"
杀人回忆,8.8,全部 85441 条,"['这并非一个寻求真相的故事，而是关于真到底相如何被整没了……', '电影告诉我一个有良心的警察是如何被逼成一个暴力狂的。', '偏向于多人效仿作案，凶手不止一个。最后女学生是小白脸杀的可能性很大！言行逼供了三个人，只有小白脸最态度反抗、眼神一直有特写是充满恨意的，因为他并没有杀人还要被诬陷。出来后在酒馆喝酒，女学生从窗前走过也对他指点议论，让他觉得自己的名声已经彻底毁了洗不清了。所以最后警察媳妇和女学生同时出现他选了女学生。还有下手之前扶着树干的细嫩的手的特写。可能真的是出于报复——既然你们都觉得我是凶手那我就真杀个给你们...', '没有想象中好，可惜。一桩反复推倒重建的案子，一群被现实所困的无奈警察。本案并非是对推理及刑侦的发挥，反而是对刑警职业之无奈的宣泄。凶手确实是那个面无表情的年轻人（结合服装来分析），然而精液并非他的，因为这点就放弃，显得收尾太过草率了——迷信美国人的dna分析到这种地步，唉。', '当整个警察局为扣押的是否是嫌犯而陷入一片争吵，那首每次杀人前都会被点播的情歌轻柔的响起，原来外面又开始下雨了——那一刻真是惊悚到无形。']"
入殓师,8.8,全部 78038 条,"['对待死的敬意，犹如对待生的真诚。举重若轻。', '日本人的表演还是太做作', '剧情编排、台词及表演均过于刻意，看到某个伏笔马上就能知道后招（澡堂老板娘，石头，鸡，怀孕，父亲，各样的误解与释怀）几乎感动不到人...因为前段看过验尸官记录片的缘故，设定上也没能打动我。广末凉子很萌很贴心，让人觉得有这样的妻子太幸福了.西施乳真有那么好吃么？那个炸鸡看起来倒是不错', '草野中木本拉奏提琴的容色有忧郁的神采.每一道程序日本人一贯的谨慎严肃和精微.对于逝去的人没有比这更好的尊重了.死亡并非代表一切终止了好的人生是一个自省的过程.于是才有谅解释怀充满了怜恤与爱的感情.感动由是草野上徜徉的音乐,飞起了生命的律动.', '迷恋死亡仪式的日本人']"
狩猎,9.1,全部 62974 条,"['其实小孩子最邪恶，因为他们完全不知道行动的后果。  ', 'Mads Mikkelsen被冤枉以后变成汉尼拔报复社会了', '不懂事的孩子撒谎惹祸，而孩子还根本就不懂事件的严重性，这是个有趣的创意。在儿童性侵如此重口的丑闻面前，所有人物和角色的行为和立场都变得清楚而极端化，孩子的纯真让善良的人们变得极端的可怕，整部电影的压抑情绪让观众不寒而栗，甚至想要男主爆发报复社会，这几乎是一部完美电影！★★★★★', '前半部分悬念铺设出色，后半部分情绪掌控直击人心，点睛之笔的结局让人想起《家宴》。尽管是已经被讲过无数遍的故事，但温特伯格仍然能一步步将你带入其中，所有角色的心理和行为都是如此真实可信，也因此更感可怕，观影体验如身临其境般痛苦难熬，堪称一大虐片。麦德斯的表演依然上乘。', '4.5。1.猎人与猎物的悖逆寓言，辩诬无可能。2.以孩童之谎倾覆成人世界，此题材惊艳度着实绝佳，然影像的本体外延有待加强，可参考雷诺阿[游戏规则]。3.战栗时刻：超市被殴重返、雨夜葬犬、林中暗枪。4.以教堂为爆发地，将集体无意识与赞美诗黑白同构。5.你在我的眼睛里看见了什么，你什么也没看见。']"
阳光灿烂的日子,8.8,全部 71567 条,"['再也没有这样的时候了。被禁锢的青春里面溶着化不开的酸涩。年轻的时候爱一个姑娘，就可以奋不顾身的把所有逞能的事情都做完。长大了以后就不会了。不是不爱姑娘了，而是理智的弦告诫你自己再这样做是多么蠢的一件事情。', '90年代最伟大的电影之一', '那阳光，灿烂到心里', '性显然是姜文创作的原动力，当[阳光灿烂的日子]的主人公爬上了高高的烟囱，他似乎把世界都踩在了脚下，正是这种年轻人凶猛的征服欲让电影显得那么可爱。无论哪个年代的青春都意味着永恒的大太阳和过不完的日子。唯一的乌云来自旁白，它无数次地提醒我们韶华已逝，人终归要被独自落在泳池里自己扑腾。', '啥都不说啊，经典啊。。。最爱的大陆片之一啊。宁静这身材才激发少男欲望啊！']"
